@RELATION countyData

@ATTRIBUTE population REAL
@ATTRIBUTE fire_dept REAL
@ATTRIBUTE hospital REAL
@ATTRIBUTE powerplant REAL
@ATTRIBUTE county {Albany_County,Allegany_County,Bronx_County,Broome_County,Cattaraugus_County,Cayuga_County,Chautauqua_County,Chemung_County,Chenango_County,Clinton_County,Columbia_County,Cortland_County,Delaware_County,Dutchess_County,Erie_County,Essex_County,Franklin_County,Fulton_County,Genesee_County,Greene_County,Hamilton_County,Herkimer_County,Jefferson_County,Kings_County,Lewis_County,Livingston_County,Madison_County,Monroe_County,Montgomery_County,Nassau_County,New_York_County,Niagara_County,Oneida_County,Onondaga_County,Ontario_County,Orange_County,Orleans_County,Oswego_County,Otsego_County,Putnam_County,Queens_County,Rensselaer_County,Richmond_County,Rockland_County,Saratoga_County,Schenectady_County,Schoharie_County,Schuyler_County,Seneca_County,St._Lawrence_County,Steuben_County,Suffolk_County,Sullivan_County,Tioga_County,Tompkins_County,Ulster_County,Warren_County,Washington_County,Wayne_County,Westchester_County,Wyoming_County,Yates_County,county}

@DATA
0.11975371460207435,0.3611111111111111,0.26666666666666666,0.3,Albany_County
0.01764495988581779,0.25925925925925924,0.13333333333333333,0.1,Allegany_County
0.5521388363526976,0.0,0.4666666666666667,0.15,Bronx_County
0.07830986005638707,0.32407407407407407,0.13333333333333333,0.075,Broome_County
0.03019404255591504,0.3333333333333333,0.06666666666666667,0.05,Cattaraugus_County
0.030077636223410552,0.26851851851851855,0.06666666666666667,0.125,Cayuga_County
0.052030430455416776,0.3888888888888889,0.3333333333333333,0.15,Chautauqua_County
0.0335994278088728,0.19444444444444445,0.13333333333333333,0.025,Chemung_County
0.0182573932021902,0.18518518518518517,0.06666666666666667,0.0,Chenango_County
0.03091848196541892,0.19444444444444445,0.06666666666666667,0.375,Clinton_County
0.023305267806568677,0.28703703703703703,0.06666666666666667,0.025,Columbia_County
0.017800968372679474,0.1111111111111111,0.06666666666666667,0.0,Cortland_County
0.017258538864514228,0.26851851851851855,0.26666666666666666,0.0,Delaware_County
0.1170671684539639,0.3425925925925926,0.2,0.1,Dutchess_County
0.3657014941612824,0.8425925925925926,0.6666666666666666,0.175,Erie_County
0.013814351500721639,0.2222222222222222,0.13333333333333333,0.1,Essex_County
0.018706217618238433,0.17592592592592593,0.13333333333333333,0.225,Franklin_County
0.020279103183213167,0.1574074074074074,0.06666666666666667,0.075,Fulton_County
0.022098402153077127,0.16666666666666666,0.06666666666666667,0.075,Genesee_County
0.017754965870143337,0.25,0.0,0.1,Greene_County
0.0,0.10185185185185185,0.0,0.0,Hamilton_County
0.023874498772733236,0.18518518518518517,0.06666666666666667,0.225,Herkimer_County
0.04455962404354797,0.4074074074074074,0.2,0.475,Jefferson_County
1.0,0.0,0.9333333333333333,0.25,Kings_County
0.008900884208100921,0.12962962962962962,0.06666666666666667,0.6,Lewis_County
0.024224117792007886,0.17592592592592593,0.06666666666666667,0.0,Livingston_County
0.02744389294777636,0.21296296296296297,0.13333333333333333,0.1,Madison_County
0.2958192925695158,0.3333333333333333,0.3333333333333333,0.275,Monroe_County
0.018154187587804776,0.17592592592592593,0.13333333333333333,0.0,Montgomery_County
0.5339074445649843,0.6481481481481481,0.8,0.425,Nassau_County
0.6324492052367648,0.009259259259259259,1.0,0.275,New_York_County
0.08465780538461293,0.2962962962962963,0.3333333333333333,0.25,Niagara_County
0.09202180598624565,0.46296296296296297,0.2,0.3,Oneida_County
0.1848860578015444,0.49074074074074076,0.26666666666666666,0.175,Onondaga_County
0.04124024346924473,0.25,0.2,0.15,Ontario_County
0.14719880761513426,0.48148148148148145,0.3333333333333333,0.2,Orange_County
0.015219627947760358,0.1111111111111111,0.06666666666666667,0.05,Orleans_County
0.04691175199930876,0.2777777777777778,0.06666666666666667,0.45,Oswego_County
0.02297044959245783,0.2777777777777778,0.13333333333333333,0.05,Otsego_County
0.037951664570552636,0.12037037037037036,0.06666666666666667,0.025,Putnam_County
0.8904028379143826,0.009259259259259259,0.6,0.35,Queens_County
0.061840564126688494,0.3888888888888889,0.13333333333333333,0.225,Rensselaer_County
0.1855676948826016,0.0,0.13333333333333333,0.075,Richmond_County
0.12274707744101279,0.24074074074074073,0.26666666666666666,0.125,Rockland_County
0.04284553079687535,0.37962962962962965,0.3333333333333333,0.95,St._Lawrence_County
0.08591307367120771,0.3055555555555556,0.06666666666666667,0.45,Saratoga_County
0.05995966180560223,0.2037037037037037,0.13333333333333333,0.0,Schenectady_County
0.011165807419923644,0.1574074074074074,0.06666666666666667,0.025,Schoharie_County
0.0054030939283097,0.08333333333333333,0.06666666666666667,0.0,Schuyler_County
0.012166661866405533,0.12037037037037036,0.0,0.025,Seneca_County
0.0376636489025003,0.4074074074074074,0.2,0.225,Steuben_County
0.5954379918267554,1.0,0.7333333333333333,1.0,Suffolk_County
0.029085982277435894,0.37037037037037035,0.06666666666666667,0.2,Sullivan_County
0.018516607303437307,0.1388888888888889,0.0,0.0,Tioga_County
0.038693304915787416,0.1574074074074074,0.06666666666666667,0.175,Tompkins_County
0.07106666602663185,0.4722222222222222,0.2,0.1,Ulster_County
0.0243497246250196,0.21296296296296297,0.06666666666666667,0.075,Warren_County
0.023353270417910733,0.23148148148148148,0.0,0.125,Washington_County
0.035576335352643186,0.26851851851851855,0.06666666666666667,0.05,Wayne_County
0.37773134858536306,0.5277777777777778,0.9333333333333333,0.125,Westchester_County
0.014928412105618545,0.16666666666666666,0.06666666666666667,0.2,Wyoming_County
